Date,Symbol,Open,High,Low,Close,Adj Close,Volume,VWAP
13-08-2002,TCS,39.75,40.387501,38.875,39.162498,27.891893,153576,39.47499967
14-08-2002,TCS,39.25,39.25,35.724998,36.462502,25.968939,822776,37.14583333
15-08-2002,TCS,36.462502,36.462502,36.462502,36.462502,25.968939,0,36.462502
16-08-2002,TCS,36.275002,38,35.75,36.375,25.906618,811856,36.70833333
19-08-2002,TCS,36.674999,36.674999,35.137501,35.474998,25.265631,205880,35.76249933
20-08-2002,TCS,35.724998,38.724998,35.487499,36.462502,25.968939,3773624,36.89166633
21-08-2002,TCS,38.474998,39.200001,36.525002,38.25,27.24202,3011064,37.99166767
22-08-2002,TCS,39.512501,41.575001,39.3125,39.900002,28.417154,6732480,40.262501
23-08-2002,TCS,40.25,43.625,39.762501,42.299999,30.12645,4841672,41.89583333
26-08-2002,TCS,42.974998,43.25,41.8125,42.150002,30.019619,2576912,42.40416733
27-08-2002,TCS,42.5,44.25,40.75,41.099998,29.271805,3694224,42.03333267
28-08-2002,TCS,40.974998,41.599998,40.287498,41.137501,29.298519,1674960,41.00833233
29-08-2002,TCS,40.887501,41.875,40.75,41.137501,29.298519,1236544,41.254167
30-08-2002,TCS,41.262501,45.125,41.25,44.049999,31.372818,3762384,43.47499967
02-09-2002,TCS,44.75,45.974998,44.049999,44.5,31.693319,2389568,44.84166567
03-09-2002,TCS,44.75,44.9375,42,42.412498,30.206587,986784,43.116666
04-09-2002,TCS,41.875,43.75,41.387501,43.337502,30.865376,1449856,42.825001
05-09-2002,TCS,44.662498,44.862499,42.5,43.075001,30.678419,1061360,43.47916667
06-09-2002,TCS,43.25,43.25,41.012501,41.474998,29.538868,907472,41.91249967
09-09-2002,TCS,39.5,42.6875,39.5,40.9375,29.156076,880848,41.04166667
10-09-2002,TCS,40.9375,40.9375,40.9375,40.9375,29.156076,0,40.9375
11-09-2002,TCS,41.162498,42.700001,41.162498,41.974998,29.894979,635936,41.94583233
12-09-2002,TCS,42.487499,43.224998,41.900002,42.1875,30.046324,781968,42.4375
13-09-2002,TCS,40.712502,42.224998,40.637501,40.987499,29.191683,338264,41.28333267
16-09-2002,TCS,41.375,41.599998,39.875,40.1875,28.62192,288592,40.554166
17-09-2002,TCS,40.912498,41.625,40.775002,41.362499,29.458771,462952,41.254167
18-09-2002,TCS,41.125,41.25,39.75,40.087502,28.550697,315432,40.36250067
19-09-2002,TCS,39.75,41.075001,39.25,39.75,28.310322,490848,40.02500033
20-09-2002,TCS,38.325001,39.674999,38.162498,39.099998,27.847391,501072,38.979165
23-09-2002,TCS,39.375,39.474998,38.275002,38.4375,27.375546,248504,38.72916667
24-09-2002,TCS,38.299999,38.299999,36.724998,37.137501,26.449684,267912,37.38749933
25-09-2002,TCS,36.275002,37.75,36,37.424999,26.654436,379544,37.058333
26-09-2002,TCS,38.200001,38.612499,37.75,38.012501,27.072874,178136,38.125
27-09-2002,TCS,37.887501,39,37.887501,38.474998,27.402243,206288,38.45416633
30-09-2002,TCS,37.887501,38.474998,36.275002,37.075001,26.405172,202232,37.27500033
01-10-2002,TCS,37.25,37.75,36.125,36.762501,26.182604,240192,36.879167
02-10-2002,TCS,36.762501,36.762501,36.762501,36.762501,26.182604,0,36.762501
03-10-2002,TCS,37.25,39.75,37.25,37.75,26.88591,673264,38.25
04-10-2002,TCS,38.25,38.362499,37.125,37.512501,26.716766,258296,37.66666667
07-10-2002,TCS,37.762501,38,37.025002,37.349998,26.601019,110976,37.45833333
08-10-2002,TCS,37.462502,38.724998,37.25,38.362499,27.322138,227352,38.112499
09-10-2002,TCS,38.5,39.112499,37.0625,37.387501,26.627735,277040,37.85416667
10-10-2002,TCS,38.5,38.5,36.637501,37.424999,26.654436,173224,37.52083333
11-10-2002,TCS,38.474998,38.9375,38.112499,38.212502,27.2153,192536,38.42083367
14-10-2002,TCS,38.924999,39,37.575001,37.9375,27.019438,152744,38.17083367
15-10-2002,TCS,37.9375,37.9375,37.9375,37.9375,27.019438,0,37.9375
16-10-2002,TCS,42.775002,42.775002,37.775002,38.012501,27.072874,247760,39.520835
17-10-2002,TCS,38.25,38.25,37.525002,38.012501,27.072874,144512,37.92916767
18-10-2002,TCS,38.75,39.924999,38.287498,38.8125,27.642626,512312,39.00833233
21-10-2002,TCS,39.724998,40.737499,39.25,39.412498,28.06996,646296,39.799999
22-10-2002,TCS,39.75,39.75,37.75,37.987499,27.055046,229384,38.495833
23-10-2002,TCS,38.25,38.700001,37.525002,37.8125,26.930422,153320,38.012501
24-10-2002,TCS,38.224998,38.349998,36.900002,37.150002,26.458588,168744,37.46666733
25-10-2002,TCS,36.5,37.087502,36.275002,36.387501,25.915527,172296,36.583335
